id,name,description,price,stock,unlimited_stock,status,createdAt,updatedAt,deletedAt,sku
1,Metode TAJWID PRAKTIS,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS TP
2,Iqro Koran Besar,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMM 003
3,Dzikir Pagi Petang DPP PIS,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS DPP
4,Dzikir Pagi Petang Saku (DPP),-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 110
5,Iqro Utsmani Bundel 1-6 HVS,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Tartil 02
6,Parfum Raudhah 35 ML Spray,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,OUD SERIES 1
7,Tajwid LENGKAP Asy Syafii,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS TAS
8,Mukhtarot Ringkasan Kaidah Bahasa Arab,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Furqon 2063
9,Olimex Minyak Ikan Gabus 60 kps,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,5039
10,Coklat Truffle Mix,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1238
11,Madu Gurah Fit 280 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fira 02
12,Kalender Hijriyah 1447,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 281
13,Iqro HVS Besar,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMM 001
14,Iqro Utsmani Per Jilid 1-6,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Tartil 01
15,Kumis Kucing 60 kps,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Toga 5115
16,Madu Zestmag 280 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fira 01
17,Al Quran Ash Shahib A5,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Hilal M 14
18,Squalene Soft Gel Kapsul,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Intra Aires
19,Duzi Pure Susu Kuda 200 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR05257
20,Madu Vitagerd 350 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Jadied 122820
